state,county,latitude,longitude
Alabama,Bibb,32.971079,-87.1227088
Alabama,Jackson,34.7692447,-85.9867941
Alabama,Jefferson,33.5228184,-86.9164513
Alabama,Shelby,33.2503347,-86.6639746
Alabama,Tuscaloosa,33.2668398,-87.4862182
Alabama,Walker,33.7804491,-87.2767248
Arkansas,Calhoun,33.5556787,-92.5143633
Arkansas,Desha,33.7740219,-91.3110517
California,Amador,38.449089,-120.5911018
California,Butte,39.6519275,-121.5858444
California,Calaveras,38.2558181,-120.4981492
California,Coastal Mendocino,38.9347122,-123.7200979
California,Comptche,39.2646659,-123.591951
California,Del Norte,41.7261767,-123.91328
California,El Dorado,38.7574137,-120.5276129
California,Humboldt,40.5997415,-123.8997734
California,In Butte,39.6432142,-121.40339
California,In Nevada,39.3561824,-120.4191036
California,In Trinity,40.038918,-123.0012963
California,In Tuolumne,37.9755279,-120.3434648
California,Jackson,38.3515278,-120.7693285
California,Lassen,40.7685579,-120.730998
California,Mendocino,39.3176491,-123.4126399
California,Modoc,41.5450487,-120.7435998
California,Monte Rio,38.4739532,-123.0244982
California,Napa,38.4898675,-122.3218414
California,Nevada,39.3540335,-120.8089843
California,Northern Sonoma,38.5176385,-122.9737704
California,Placer,39.1012064,-120.7650606
California,Plumas,39.9430988,-120.8059521
California,San Mateo,37.496904,-122.3330573
California,Santa Cruz,37.050096,-121.99059
California,Shasta,40.7965121,-121.9979194
California,Sierra,39.5849065,-120.5305731
California,Siskiyou,41.6862466,-122.5360121
California,Sonoma,38.5110803,-122.8473388
California,Southern Mendocino,38.9467254,-123.0915131
California,Tehama,40.1251334,-122.2015529
California,Trinity,40.6053256,-123.171268
California,Tuolumne,38.056944,-119.9919351
California,Western Mendocino,39.2152417,-123.2043821
California,Yuba,39.2839755,-121.3556818
Florida,Dixie,29.6214008,-83.17351
Florida,Glades,26.9328123,-81.1895983
Florida,Hillsborough,27.9184543,-82.3488057
Florida,Levy,29.3008632,-82.7824592
Kentucky,Bell,36.7370344,-83.6491695
Kentucky,Breathitt,37.5248869,-83.2943551
Kentucky,Carter,38.3199171,-83.0039034
Kentucky,Elliott,38.1178636,-83.0656398
Kentucky,Greenup,38.5108112,-82.9180186
Kentucky,Harlan,36.8411336,-83.22678
Kentucky,Highsplint,36.8948126,-83.1171143
Kentucky,Knox,36.8934427,-83.8545725
Kentucky,Lee,37.6001442,-83.7073043
Kentucky,Leslie,37.082981,-83.3750732
Kentucky,Lewis,38.5192128,-83.3400338
Kentucky,Madison,37.7298081,-84.2974735
Kentucky,Martin,37.8022242,-82.5077178
Maine,Aroostook,46.6847962,-68.4701132
Maine,Coos,44.7202225,-70.6322367
Maine,Cumberland,43.8506432,-70.4001498
Maine,Franklin,44.916814,-70.4395797
Maine,Hancock,44.7135397,-68.2994753
Maine,Kennebec,44.4184616,-69.8250659
Maine,Kibby,45.418739,-70.544355
Maine,Lincoln,44.1137571,-69.5351337
Maine,Maine,43.6883534,-70.2463169
Maine,Oxford,44.4694529,-70.7782375
Maine,Penobscot,45.2930166,-68.5957766
Maine,Piscataquis,45.8358193,-69.2923096
Maine,Somerset,45.4538403,-70.0997288
Maine,Waldo,44.4870161,-69.1365185
Maine,Washington,44.9744397,-67.6287553
Massachusetts,Berkshire,42.3999954,-73.2322639
Massachusetts,Franklin,42.5896205,-72.6110645
Massachusetts,Hampden,42.1285315,-72.6063441
Massachusetts,Hampshire,42.3432499,-72.6213339
Massachusetts,Tolland,42.0815253,-73.0123093
Massachusetts,Worcester,42.3705781,-71.8677242
Michigan,Antrim,44.9947369,-85.1133189
Michigan,Baraga,46.6354348,-88.3876368
Michigan,Charlevoix,45.202075,-84.9676387
Michigan,Cheboygan,45.4417481,-84.4768486
Michigan,Emmet,45.5064041,-84.8567966
Michigan,Houghton,46.8591287,-88.7774734
Michigan,Keweenaw,47.3876058,-88.0742387
Michigan,Lake,43.9699997,-85.7884997
Michigan,Luce,46.4824144,-85.5556156
Michigan,Mackinac,46.085237,-85.0336698
Michigan,Marquette,46.4481521,-87.6305899
Michigan,Montmorency,45.0192008,-84.1322903
Michigan,Ontonagon,46.6471877,-89.3293792
Michigan,Otsego,45.0244123,-84.6136788
Michigan,Richland,42.3761504,-85.4550054
Michigan,St. Louis,46.7813734,-92.1040356
Mississippi,Forrest,31.1540772,-89.2398601
Mississippi,Perry,31.153317,-88.9830577
Missouri,Ozark,36.6467816,-92.4575198
Montana,Cascade,47.3271465,-111.3281242
Montana,Clark,47.2117026,-112.4768049
Montana,Flathead,48.3840879,-113.972144
Montana,Lewis,47.2117026,-112.4768049
Montana,Meagher,46.6305891,-110.8988278
