state,latitude,longitude
Alabama,33.2588817,-86.8295337
Arizona,34.395342,-111.763275
Arkansas,35.2048883,-92.4479108
California,36.7014631,-118.755997
Colorado,38.7251776,-105.607716
Connecticut,41.6500201,-72.7342163
Delaware,38.6920451,-75.4013315
Florida,27.7567667,-81.4639835
Georgia,32.3293809,-83.1137366
Illinois,40.0796606,-89.4337288
Kentucky,37.5726028,-85.1551411
Louisiana,30.8703881,-92.007126
Maine,45.709097,-68.8590201
Maryland,39.5162401,-76.9382069
Massachusetts,42.3788774,-72.032366
Michigan,43.6211955,-84.6824346
Minnesota,45.9896587,-94.6113288
Mississippi,32.9715285,-89.7348497
Missouri,38.7604815,-92.5617875
Montana,47.3752671,-109.638757
New Hampshire,43.4849133,-71.6553992
New Jersey,40.0757384,-74.4041622
New Mexico,34.5802074,-105.996047
New York,40.7127281,-74.0060152
North Carolina,35.6729639,-79.0392919
Ohio,40.2253569,-82.6881395
Oklahoma,34.9550817,-97.2684063
Oregon,43.9792797,-120.737257
Pennsylvania,40.9699889,-77.7278831
Rhode Island,41.7962409,-71.5992372
South Carolina,33.6874388,-80.4363743
Tennessee,35.7730076,-86.2820081
Texas,31.2638905,-98.5456116
Vermont,44.5990718,-72.5002608
Virginia,37.1232245,-78.4927721
Washington,38.8950982,-77.0363849
West Virginia,38.4758406,-80.8408415
Wisconsin,44.4308975,-89.6884637
nan,29.8249495,-95.4786754
